['.', '()', '().', '(())']
['.', '()', '().', '()()']
['.', '()', '().', '()..']
['.', '()', '().', '(..)']
['.', '()', '().', '.(.)']
['.', '()', '(.)', '()()']
['.', '()', '(.)', '(.).']
['.', '()', '(.)', '(..)']
['.', '()', '.()', '(())']
['.', '()', '.()', '()()']
['.', '()', '.()', '.().']
['.', '()', '.()', '.(.)']
['.', '..', '(.)', '(())']
['.', '..', '(.)', '(.).']
['.', '..', '(.)', '(..)']
['.', '..', '(.)', '..()']
['.', '..', '.()', '(())']
['.', '..', '.()', '.().']
['.', '..', '.()', '.(.)']
['.', '..', '.()', '..()']
['.', '..', '...', '(..)']
['.', '..', '...', '.(.)']
['.', '..', '...', '..()']
['.', '..', '...', '....']
