['.', '()', '().', '(())', '(()).']
['.', '()', '().', '(())', '(().)']
['.', '()', '().', '(())', '().()']
['.', '()', '().', '()()', '(().)']
['.', '()', '().', '()()', '()().']
['.', '()', '().', '()()', '()(.)']
['.', '()', '().', '()()', '().()']
['.', '()', '().', '()()', '(.())']
['.', '()', '().', '()()', '.(())']
['.', '()', '().', '()..', '(().)']
['.', '()', '().', '()..', '((.))']
['.', '()', '().', '()..', '()(.)']
['.', '()', '().', '()..', '().()']
['.', '()', '().', '()..', '()...']
['.', '()', '().', '()..', '(...)']
['.', '()', '().', '()..', '.(..)']
['.', '()', '().', '(..)', '().()']
['.', '()', '().', '(..)', '(..).']
['.', '()', '().', '(..)', '(...)']
['.', '()', '().', '.(.)', '((.))']
['.', '()', '().', '.(.)', '().()']
['.', '()', '().', '.(.)', '.(.).']
['.', '()', '().', '.(.)', '.(..)']
['.', '()', '(.)', '()()', '()().']
['.', '()', '(.)', '()()', '()(.)']
['.', '()', '(.)', '()()', '(.())']
['.', '()', '(.)', '()()', '(.)()']
['.', '()', '(.)', '()()', '.(())']
['.', '()', '(.)', '(.).', '()(.)']
['.', '()', '(.)', '(.).', '(.)()']
['.', '()', '(.)', '(.).', '(.)..']
['.', '()', '(.)', '(.).', '(...)']
['.', '()', '(.)', '(..)', '(.)()']
['.', '()', '(.)', '(..)', '(..).']
['.', '()', '(.)', '(..)', '(...)']
['.', '()', '.()', '(())', '(()).']
['.', '()', '.()', '(())', '(().)']
['.', '()', '.()', '(())', '.()()']
['.', '()', '.()', '()()', '()().']
['.', '()', '.()', '()()', '()(.)']
['.', '()', '.()', '()()', '(.())']
['.', '()', '.()', '()()', '.(())']
['.', '()', '.()', '()()', '.()()']
['.', '()', '.()', '.().', '(().)']
['.', '()', '.()', '.().', '()(.)']
['.', '()', '.()', '.().', '.()()']
['.', '()', '.()', '.().', '.()..']
['.', '()', '.()', '.().', '.(..)']
['.', '()', '.()', '.(.)', '((.))']
['.', '()', '.()', '.(.)', '.()()']
['.', '()', '.()', '.(.)', '.(.).']
['.', '()', '.()', '.(.)', '.(..)']
['.', '..', '(.)', '(())', '(()).']
['.', '..', '(.)', '(())', '(().)']
['.', '..', '(.)', '(())', '(.)()']
['.', '..', '(.)', '(.).', '(().)']
['.', '..', '(.)', '(.).', '(.())']
['.', '..', '(.)', '(.).', '(.)()']
['.', '..', '(.)', '(.).', '(.)..']
['.', '..', '(.)', '(.).', '(...)']
['.', '..', '(.)', '(.).', '..(.)']
['.', '..', '(.)', '(..)', '(.)()']
['.', '..', '(.)', '(..)', '(..).']
['.', '..', '(.)', '(..)', '(...)']
['.', '..', '(.)', '..()', '(.())']
['.', '..', '(.)', '..()', '(.)()']
['.', '..', '(.)', '..()', '.(())']
['.', '..', '(.)', '..()', '..().']
['.', '..', '(.)', '..()', '..(.)']
['.', '..', '.()', '(())', '(()).']
['.', '..', '.()', '(())', '(().)']
['.', '..', '.()', '(())', '((.))']
['.', '..', '.()', '(())', '.()()']
['.', '..', '.()', '.().', '(().)']
['.', '..', '.()', '.().', '.(())']
['.', '..', '.()', '.().', '.()()']
['.', '..', '.()', '.().', '.()..']
['.', '..', '.()', '.().', '.(..)']
['.', '..', '.()', '.().', '..(.)']
['.', '..', '.()', '.(.)', '((.))']
['.', '..', '.()', '.(.)', '.()()']
['.', '..', '.()', '.(.)', '.(.).']
['.', '..', '.()', '.(.)', '.(..)']
['.', '..', '.()', '..()', '(.())']
['.', '..', '.()', '..()', '.(())']
['.', '..', '.()', '..()', '.()()']
['.', '..', '.()', '..()', '..().']
['.', '..', '.()', '..()', '..(.)']
['.', '..', '...', '(..)', '((.))']
['.', '..', '...', '(..)', '(.())']
['.', '..', '...', '(..)', '(..).']
['.', '..', '...', '(..)', '(...)']
['.', '..', '...', '(..)', '...()']
['.', '..', '...', '.(.)', '((.))']
['.', '..', '...', '.(.)', '.(())']
['.', '..', '...', '.(.)', '.(.).']
['.', '..', '...', '.(.)', '.(..)']
['.', '..', '...', '.(.)', '...()']
['.', '..', '...', '..()', '(.())']
['.', '..', '...', '..()', '.(())']
['.', '..', '...', '..()', '..().']
['.', '..', '...', '..()', '..(.)']
['.', '..', '...', '..()', '...()']
['.', '..', '...', '....', '(...)']
['.', '..', '...', '....', '.(..)']
['.', '..', '...', '....', '..(.)']
['.', '..', '...', '....', '...()']
['.', '..', '...', '....', '.....']
