['.', '()', '().', '(())', '(()).', '(()())']
['.', '()', '().', '(())', '(()).', '(())()']
['.', '()', '().', '(())', '(()).', '(())..']
['.', '()', '().', '(())', '(()).', '(()..)']
['.', '()', '().', '(())', '(()).', '((..))']
['.', '()', '().', '(())', '(()).', '().(.)']
['.', '()', '().', '(())', '(()).', '(.(.))']
['.', '()', '().', '(())', '(().)', '(())()']
['.', '()', '().', '(())', '(().)', '(().).']
['.', '()', '().', '(())', '(().)', '(()..)']
['.', '()', '().', '(())', '().()', '(()())']
['.', '()', '().', '(())', '().()', '(())()']
['.', '()', '().', '(())', '().()', '()(())']
['.', '()', '().', '(())', '().()', '().().']
['.', '()', '().', '(())', '().()', '().(.)']
['.', '()', '().', '(())', '().()', '.(.())']
['.', '()', '().', '()()', '(().)', '(().).']
['.', '()', '().', '()()', '(().)', '(()..)']
['.', '()', '().', '()()', '(().)', '(.()).']
['.', '()', '().', '()()', '(().)', '(.().)']
['.', '()', '().', '()()', '()().', '((()))']
['.', '()', '().', '()()', '()().', '(()..)']
['.', '()', '().', '()()', '()().', '()(())']
['.', '()', '().', '()()', '()().', '()()()']
['.', '()', '().', '()()', '()().', '()()..']
['.', '()', '().', '()()', '()().', '()(..)']
['.', '()', '().', '()()', '()().', '().(.)']
['.', '()', '().', '()()', '()().', '(.().)']
['.', '()', '().', '()()', '()().', '.(().)']
['.', '()', '().', '()()', '()(.)', '()()()']
['.', '()', '().', '()()', '()(.)', '()(.).']
['.', '()', '().', '()()', '()(.)', '()(..)']
['.', '()', '().', '()()', '()(.)', '(.(.))']
['.', '()', '().', '()()', '()(.)', '.((.))']
['.', '()', '().', '()()', '().()', '(()())']
['.', '()', '().', '()()', '().()', '()(())']
['.', '()', '().', '()()', '().()', '()()()']
['.', '()', '().', '()()', '().()', '().().']
['.', '()', '().', '()()', '().()', '().(.)']
['.', '()', '().', '()()', '().()', '(..())']
['.', '()', '().', '()()', '().()', '.(.())']
['.', '()', '().', '()()', '(.())', '()()()']
['.', '()', '().', '()()', '(.())', '(.()).']
['.', '()', '().', '()()', '(.())', '(.().)']
['.', '()', '().', '()()', '(.())', '(.(.))']
['.', '()', '().', '()()', '(.())', '(..())']
['.', '()', '().', '()()', '.(())', '((()))']
['.', '()', '().', '()()', '.(())', '()()()']
['.', '()', '().', '()()', '.(())', '.(()).']
['.', '()', '().', '()()', '.(())', '.(().)']
['.', '()', '().', '()()', '.(())', '.((.))']
['.', '()', '().', '()()', '.(())', '.(.())']
['.', '()', '().', '()..', '(().)', '(()())']
['.', '()', '().', '()..', '(().)', '(().).']
['.', '()', '().', '()..', '(().)', '(()..)']
['.', '()', '().', '()..', '(().)', '()..()']
['.', '()', '().', '()..', '((.))', '(().).']
['.', '()', '().', '()..', '((.))', '(()..)']
['.', '()', '().', '()..', '((.))', '((.)).']
['.', '()', '().', '()..', '((.))', '((.).)']
['.', '()', '().', '()..', '((.))', '()..()']
['.', '()', '().', '()..', '()(.)', '(()..)']
['.', '()', '().', '()..', '()(.)', '()(())']
['.', '()', '().', '()..', '()(.)', '()(.).']
['.', '()', '().', '()..', '()(.)', '()(..)']
['.', '()', '().', '()..', '()(.)', '()..()']
