['.', '()', '().', '(())', '(()).', '(()())', '(()()).']
['.', '()', '().', '(())', '(()).', '(()())', '(()().)']
['.', '()', '().', '(())', '(()).', '(()())', '(()).()']
['.', '()', '().', '(())', '(()).', '(())()', '(()().)']
['.', '()', '().', '(())', '(()).', '(())()', '(()(.))']
['.', '()', '().', '(())', '(()).', '(())()', '(())().']
['.', '()', '().', '(())', '(()).', '(())()', '(())(.)']
['.', '()', '().', '(())', '(()).', '(())()', '(()).()']
['.', '()', '().', '(())', '(()).', '(())()', '(().())']
['.', '()', '().', '(())', '(()).', '(())()', '().(())']
['.', '()', '().', '(())', '(()).', '(())..', '(()().)']
['.', '()', '().', '(())', '(()).', '(())..', '(()(.))']
['.', '()', '().', '(())', '(()).', '(())..', '(())(.)']
['.', '()', '().', '(())', '(()).', '(())..', '(()).()']
['.', '()', '().', '(())', '(()).', '(())..', '(())...']
['.', '()', '().', '(())', '(()).', '(())..', '(()...)']
['.', '()', '().', '(())', '(()).', '(())..', '((.()))']
['.', '()', '().', '(())', '(()).', '(())..', '((..).)']
['.', '()', '().', '(())', '(()).', '(())..', '((...))']
['.', '()', '().', '(())', '(()).', '(())..', '().(..)']
['.', '()', '().', '(())', '(()).', '(())..', '(.(()))']
['.', '()', '().', '(())', '(()).', '(())..', '(.(.).)']
['.', '()', '().', '(())', '(()).', '(())..', '(.(..))']
['.', '()', '().', '(())', '(()).', '(()..)', '(()).()']
['.', '()', '().', '(())', '(()).', '(()..)', '(().())']
['.', '()', '().', '(())', '(()).', '(()..)', '(()..).']
['.', '()', '().', '(())', '(()).', '(()..)', '(()...)']
['.', '()', '().', '(())', '(()).', '(()..)', '(.(.)).']
['.', '()', '().', '(())', '(()).', '(()..)', '(.(.).)']
['.', '()', '().', '(())', '(()).', '((..))', '(()).()']
['.', '()', '().', '(())', '(()).', '((..))', '(()..).']
['.', '()', '().', '(())', '(()).', '((..))', '(()...)']
['.', '()', '().', '(())', '(()).', '((..))', '((..)).']
['.', '()', '().', '(())', '(()).', '((..))', '((..).)']
['.', '()', '().', '(())', '(()).', '().(.)', '(()(.))']
['.', '()', '().', '(())', '(()).', '().(.)', '(()).()']
['.', '()', '().', '(())', '(()).', '().(.)', '()((.))']
['.', '()', '().', '(())', '(()).', '().(.)', '().(())']
['.', '()', '().', '(())', '(()).', '().(.)', '().(.).']
['.', '()', '().', '(())', '(()).', '().(.)', '().(..)']
['.', '()', '().', '(())', '(()).', '().(.)', '.(.(.))']
['.', '()', '().', '(())', '(()).', '(.(.))', '(()).()']
['.', '()', '().', '(())', '(()).', '(.(.))', '(()..).']
['.', '()', '().', '(())', '(()).', '(.(.))', '(()...)']
['.', '()', '().', '(())', '(()).', '(.(.))', '(.(.)).']
['.', '()', '().', '(())', '(()).', '(.(.))', '(.(.).)']
['.', '()', '().', '(())', '(().)', '(())()', '(())().']
['.', '()', '().', '(())', '(().)', '(())()', '(())(.)']
['.', '()', '().', '(())', '(().)', '(())()', '(().())']
['.', '()', '().', '(())', '(().)', '(())()', '(().)()']
['.', '()', '().', '(())', '(().)', '(())()', '().(())']
['.', '()', '().', '(())', '(().)', '(().).', '(())(.)']
